Latitude,Longitude,city,clli_code,device,image,ip_address,network_code,network_type,region,zone
,,lab,ASR5500,Consumer-ASR,21.27.5 (87852),1.1.1.1,NZ,Consumer,lab,Lab2
,,lab,ASR5500,Enterprise-ASR,21.27.5 (87852),2.2.2.2,NZ,Enterprise,lab,Lab2
,,lab,ASR5500,Firstnet-ASR,21.27.5 (87852),3.3.3.3,NZ,FirstNet,lab,Lab2
34.2053429,-118.4898871,lab,ASR5500,ASR5500-2,21.27.5 (87852),10.201.211.23,NZ,Enterprise,lab,Lab2
40.69763070000001,-74.1448282,lab,ASR5500,ASR5500-1,21.27.5 (87852),10.201.211.22,NZ,Consumer,lab,Lab2
33.104191,-96.671738,lab,ASR5500,ASR5500-4,21.27.5 (87852),10.201.211.25,NZ,FirstNet,lab,Lab2
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNE11G,21.27.5 (87852),107.246.20.166,NE,Enterprise,TX,ALNNE1
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNE12G,21.27.5 (87852),107.246.20.168,NE,Enterprise,TX,ALNNE1
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANE11G,21.27.5 (87852),107.76.8.90,NE,Enterprise,CA,VNYNE1
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANE12G,21.27.5 (87852),107.76.8.92,NE,Enterprise,CA,VNYNE1
